Date,Closing price
31/05/2022,15400.0
30/05/2022,15600.0
27/05/2022,15650.0
26/05/2022,15550.0
25/05/2022,15300.0
24/05/2022,14700.0
23/05/2022,14850.0
20/05/2022,14850.0
19/05/2022,14650.0
18/05/2022,14600.0
17/05/2022,14500.0
16/05/2022,13800.0
13/05/2022,13700.0
12/05/2022,14700.0
11/05/2022,15800.0
10/05/2022,15800.0
09/05/2022,16300.0
06/05/2022,17500.0
05/05/2022,18500.0
04/05/2022,18800.0
29/04/2022,19000.0
28/04/2022,19000.0
27/04/2022,18900.0
26/04/2022,18400.0
25/04/2022,17950.0
22/04/2022,19300.0
21/04/2022,19100.0
20/04/2022,20500.0
19/04/2022,22000.0
18/04/2022,22900.0
15/04/2022,23500.0
14/04/2022,22900.0
13/04/2022,22900.0
12/04/2022,22650.0
08/04/2022,23000.0
07/04/2022,22400.0
06/04/2022,23900.0
05/04/2022,24400.0
04/04/2022,24400.0
01/04/2022,24600.0
31/03/2022,23000.0
30/03/2022,23350.0
29/03/2022,23300.0
28/03/2022,21800.0
25/03/2022,22350.0
24/03/2022,22300.0
23/03/2022,21900.0
22/03/2022,21200.0
21/03/2022,20100.0
18/03/2022,20000.0
17/03/2022,20300.0
16/03/2022,20300.0
15/03/2022,20500.0
14/03/2022,20000.0
11/03/2022,20000.0
10/03/2022,20400.0
09/03/2022,20250.0
08/03/2022,20500.0
07/03/2022,21100.0
04/03/2022,21350.0
03/03/2022,21000.0
02/03/2022,21300.0
01/03/2022,21700.0
28/02/2022,21500.0
25/02/2022,21300.0
24/02/2022,21150.0
23/02/2022,22700.0
22/02/2022,22700.0
21/02/2022,23000.0
18/02/2022,22400.0
17/02/2022,22500.0
16/02/2022,22500.0
15/02/2022,21900.0
14/02/2022,21900.0
11/02/2022,21900.0
10/02/2022,22150.0
09/02/2022,21750.0
08/02/2022,21000.0
07/02/2022,21350.0
28/01/2022,21300.0
27/01/2022,21300.0
26/01/2022,21300.0
25/01/2022,21350.0
24/01/2022,21350.0
21/01/2022,22800.0
20/01/2022,22850.0
19/01/2022,21400.0
18/01/2022,20000.0
17/01/2022,20100.0
14/01/2022,21250.0
13/01/2022,21000.0
12/01/2022,22500.0
11/01/2022,23500.0
10/01/2022,23500.0
07/01/2022,25200.0
06/01/2022,26000.0
05/01/2022,26100.0
04/01/2022,26300.0
31/12/2021,24800.0
30/12/2021,24700.0
29/12/2021,24550.0
28/12/2021,24100.0
27/12/2021,24500.0
24/12/2021,24450.0
23/12/2021,25050.0
22/12/2021,25500.0
21/12/2021,24900.0
20/12/2021,23800.0
17/12/2021,23750.0
16/12/2021,23000.0
15/12/2021,24100.0
14/12/2021,24600.0
13/12/2021,24200.0
10/12/2021,24100.0
09/12/2021,24000.0
08/12/2021,23450.0
07/12/2021,23300.0
06/12/2021,23500.0
03/12/2021,23300.0
02/12/2021,22650.0
01/12/2021,21200.0
30/11/2021,21400.0
29/11/2021,21250.0
26/11/2021,19900.0
25/11/2021,18700.0
24/11/2021,18350.0
23/11/2021,18300.0
22/11/2021,17700.0
19/11/2021,18600.0
18/11/2021,19000.0
17/11/2021,18650.0
16/11/2021,18650.0
15/11/2021,18650.0
12/11/2021,19000.0
11/11/2021,18600.0
10/11/2021,18050.0
09/11/2021,16900.0
08/11/2021,16700.0
05/11/2021,17200.0
04/11/2021,16450.0
03/11/2021,15700.0
02/11/2021,15950.0
01/11/2021,14950.0
29/10/2021,14300.0
28/10/2021,14350.0
27/10/2021,14350.0
26/10/2021,13750.0
25/10/2021,13550.0
22/10/2021,13000.0
21/10/2021,12650.0
20/10/2021,12500.0
19/10/2021,12650.0
18/10/2021,12850.0
15/10/2021,13100.0
14/10/2021,12850.0
13/10/2021,12800.0
12/10/2021,12900.0
11/10/2021,13150.0
08/10/2021,13100.0
07/10/2021,13000.0
06/10/2021,13200.0
05/10/2021,13200.0
04/10/2021,13000.0
01/10/2021,12900.0
30/09/2021,13150.0
29/09/2021,13400.0
28/09/2021,12550.0
27/09/2021,12400.0
24/09/2021,12350.0
23/09/2021,13000.0
22/09/2021,13400.0
21/09/2021,13250.0
20/09/2021,12400.0
17/09/2021,12300.0
16/09/2021,12250.0
15/09/2021,12350.0
14/09/2021,12100.0
13/09/2021,12000.0
10/09/2021,11800.0
09/09/2021,11700.0
08/09/2021,11500.0
07/09/2021,11950.0
06/09/2021,12250.0
01/09/2021,11950.0
31/08/2021,12900.0
30/08/2021,12850.0
27/08/2021,12350.0
26/08/2021,12200.0
25/08/2021,12400.0
24/08/2021,12150.0
23/08/2021,12100.0
20/08/2021,12200.0
19/08/2021,12900.0
18/08/2021,12850.0
17/08/2021,12800.0
16/08/2021,12550.0
13/08/2021,11750.0
12/08/2021,11600.0
11/08/2021,11500.0
10/08/2021,11650.0
09/08/2021,11500.0
06/08/2021,10900.0
05/08/2021,11000.0
04/08/2021,10850.0
03/08/2021,11000.0
02/08/2021,10450.0
30/07/2021,10500.0
29/07/2021,10450.0
28/07/2021,10450.0
27/07/2021,10500.0
26/07/2021,10550.0
23/07/2021,10500.0
22/07/2021,10500.0
21/07/2021,10450.0
20/07/2021,10450.0
19/07/2021,10300.0
16/07/2021,10700.0
15/07/2021,10700.0
14/07/2021,10350.0
13/07/2021,10400.0
12/07/2021,10200.0
09/07/2021,10600.0
08/07/2021,10550.0
07/07/2021,10750.0
06/07/2021,10850.0
05/07/2021,11000.0
02/07/2021,11200.0
01/07/2021,11300.0
30/06/2021,11400.0
